['brandonrthomas', 202551143, 'impression', '1', 240657811L, datetime.datetime(2013, 5, 17, 21, 7, 47), 0.380962404062467, False, 'time']
['brandonrthomas', 202551143, 'impression', '17', 240667704L, datetime.datetime(2013, 5, 21, 21, 31, 30), 0.149812800626045, False, 'time']
['brandonrthomas', 202551143, 'impression', '6', 240740268L, datetime.datetime(2013, 5, 21, 21, 31, 30), 0.241294784158819, False, 'time']
['brandonrthomas', 202551143, 'impression', '16', 240668164L, datetime.datetime(2013, 5, 21, 21, 31, 30), 0.373177630235569, False, 'time']
['brandonrthomas', 202551143, 'impression', '20', 240666794L, datetime.datetime(2013, 5, 21, 21, 31, 30), 0.323699327705572, False, 'time']
['brandonrthomas', 202551143, 'impression', '3', 240781850L, datetime.datetime(2013, 5, 21, 21, 31, 30), 0.345975392252723, False, 'time']
['brandonrthomas', 202551143, 'impression', '14', 240677570L, datetime.datetime(2013, 5, 21, 21, 31, 30), 0.160145592202078, False, 'time']
['brandonrthomas', 202551143, 'impression', '9', 240711581L, datetime.datetime(2013, 5, 21, 21, 32, 54), 0.358407857881257, False, 'time']
['brandonrthomas', 202551143, 'impression', '17', 240667704L, datetime.datetime(2013, 5, 21, 21, 32, 54), 0.149812800626045, False, 'time']
['brandonrthomas', 202551143, 'impression', '11', 240698440L, datetime.datetime(2013, 5, 21, 21, 32, 54), 0.0885639561873518, False, 'time']
['brandonrthomas', 202551143, 'impression', '6', 240740268L, datetime.datetime(2013, 5, 21, 21, 32, 54), 0.241294784158819, False, 'time']
['brandonrthomas', 202551143, 'impression', '4', 240769891L, datetime.datetime(2013, 5, 21, 21, 32, 54), 0.0913447420373485, False, 'time']
['brandonrthomas', 202551143, 'impression', '12', 240692732L, datetime.datetime(2013, 5, 21, 21, 32, 54), 0.0107747417923994, False, 'time']
['brandonrthomas', 202551143, 'impression', '5', 240761309L, datetime.datetime(2013, 5, 21, 21, 32, 54), 0.0944830618169112, False, 'time']
['brandonrthomas', 202551143, 'impression', '8', 240714611L, datetime.datetime(2013, 5, 21, 21, 32, 54), 0.46537146480363, False, 'time']
['brandonrthomas', 202551143, 'impression', '19', 240666924L, datetime.datetime(2013, 5, 21, 21, 32, 54), 0.238162327663233, False, 'time']
['brandonrthomas', 202551143, 'impression', '16', 240668164L, datetime.datetime(2013, 5, 21, 21, 32, 54), 0.373177630235569, False, 'time']
['brandonrthomas', 202551143, 'impression', '20', 240666794L, datetime.datetime(2013, 5, 21, 21, 32, 54), 0.323699327705572, False, 'time']
['brandonrthomas', 202551143, 'impression', '3', 240781850L, datetime.datetime(2013, 5, 21, 21, 32, 54), 0.345975392252723, False, 'time']
['brandonrthomas', 202551143, 'impression', '14', 240677570L, datetime.datetime(2013, 5, 21, 21, 32, 54), 0.160145592202078, False, 'time']
['brandonrthomas', 202551143, 'impression', '1', 240941872L, datetime.datetime(2013, 5, 21, 21, 32, 54), 0.137767874607018, False, 'time']
['brandonrthomas', 202551143, 'impression', '18', 240667661L, datetime.datetime(2013, 5, 21, 21, 32, 54), 0.186580431077518, False, 'time']
['brandonrthomas', 202551143, 'impression', '2', 240817090L, datetime.datetime(2013, 5, 21, 21, 32, 54), 0.366421385670652, False, 'time']
['brandonrthomas', 202551143, 'impression', '13', 240691963L, datetime.datetime(2013, 5, 21, 21, 32, 54), 0.117988982829822, False, 'time']
['brandonrthomas', 202551143, 'impression', '7', 240726415L, datetime.datetime(2013, 5, 21, 21, 32, 54), 0.464514223406643, False, 'time']
['brandonrthomas', 202551143, 'impression', '15', 240676431L, datetime.datetime(2013, 5, 21, 21, 32, 54), 0.261549665390047, False, 'time']
['brandonrthomas', 202551143, 'impression', '10', 240699015L, datetime.datetime(2013, 5, 21, 21, 32, 54), 0.148027128618339, False, 'time']
['brandonrthomas', 202551143, 'impression', '11', 240698440L, datetime.datetime(2013, 5, 21, 21, 33, 13), 0.0885639561873518, False, 'time']
['brandonrthomas', 202551143, 'impression', '9', 240711581L, datetime.datetime(2013, 5, 21, 21, 33, 13), 0.358407857881257, False, 'time']
['brandonrthomas', 202551143, 'impression', '6', 240740268L, datetime.datetime(2013, 5, 21, 21, 33, 13), 0.241294784158819, False, 'time']
['brandonrthomas', 202551143, 'impression', '17', 240667704L, datetime.datetime(2013, 5, 21, 21, 33, 13), 0.149812800626045, False, 'time']
['brandonrthomas', 202551143, 'impression', '16', 240668164L, datetime.datetime(2013, 5, 21, 21, 33, 13), 0.373177630235569, False, 'time']
['brandonrthomas', 202551143, 'impression', '3', 240781850L, datetime.datetime(2013, 5, 21, 21, 33, 13), 0.345975392252723, False, 'time']
['brandonrthomas', 202551143, 'impression', '20', 240666794L, datetime.datetime(2013, 5, 21, 21, 33, 13), 0.323699327705572, False, 'time']
['brandonrthomas', 202551143, 'impression', '2', 240817090L, datetime.datetime(2013, 5, 21, 21, 33, 13), 0.366421385670652, False, 'time']
['brandonrthomas', 202551143, 'impression', '18', 240667661L, datetime.datetime(2013, 5, 21, 21, 33, 13), 0.186580431077518, False, 'time']
['brandonrthomas', 202551143, 'impression', '1', 240941872L, datetime.datetime(2013, 5, 21, 21, 33, 13), 0.137767874607018, False, 'time']
['brandonrthomas', 202551143, 'impression', '4', 240769891L, datetime.datetime(2013, 5, 21, 21, 33, 13), 0.0913447420373485, False, 'time']
['brandonrthomas', 202551143, 'impression', '8', 240714611L, datetime.datetime(2013, 5, 21, 21, 33, 13), 0.46537146480363, False, 'time']
['brandonrthomas', 202551143, 'impression', '5', 240761309L, datetime.datetime(2013, 5, 21, 21, 33, 13), 0.0944830618169112, False, 'time']
['brandonrthomas', 202551143, 'impression', '12', 240692732L, datetime.datetime(2013, 5, 21, 21, 33, 13), 0.0107747417923994, False, 'time']
['brandonrthomas', 202551143, 'impression', '19', 240666924L, datetime.datetime(2013, 5, 21, 21, 33, 13), 0.238162327663233, False, 'time']
['brandonrthomas', 202551143, 'impression', '7', 240726415L, datetime.datetime(2013, 5, 21, 21, 33, 13), 0.464514223406643, False, 'time']
['brandonrthomas', 202551143, 'impression', '10', 240699015L, datetime.datetime(2013, 5, 21, 21, 33, 13), 0.148027128618339, False, 'time']
['brandonrthomas', 202551143, 'impression', '13', 240691963L, datetime.datetime(2013, 5, 21, 21, 33, 13), 0.117988982829822, False, 'time']
['brandonrthomas', 202551143, 'impression', '15', 240676431L, datetime.datetime(2013, 5, 21, 21, 33, 13), 0.261549665390047, False, 'time']
['brandonrthomas', 202551143, 'impression', '14', 240677570L, datetime.datetime(2013, 5, 21, 21, 33, 13), 0.160145592202078, False, 'time']

