['theuniz', 202594102, 'impression', '8', 241572860L, datetime.datetime(2013, 5, 29, 10, 56, 19), 0.0741882048802662, False, 'time']
['theuniz', 202594102, 'impression', '11', 241572672L, datetime.datetime(2013, 5, 29, 10, 56, 19), 0.0959632918405654, False, 'time']
['theuniz', 202594102, 'impression', '4', 241573058L, datetime.datetime(2013, 5, 29, 10, 56, 19), 0.185607674697982, False, 'time']
['theuniz', 202594102, 'impression', '5', 241573006L, datetime.datetime(2013, 5, 29, 10, 56, 19), 0.110130851076947, False, 'time']
['theuniz', 202594102, 'impression', '2', 241573102L, datetime.datetime(2013, 5, 29, 10, 56, 19), 0.215566082567661, False, 'time']
['theuniz', 202594102, 'impression', '9', 241572819L, datetime.datetime(2013, 5, 29, 10, 56, 19), 0.187188800643173, False, 'time']
['theuniz', 202594102, 'impression', '12', 241572661L, datetime.datetime(2013, 5, 29, 10, 56, 19), 0.0889941857023133, False, 'time']
['theuniz', 202594102, 'impression', '7', 241572864L, datetime.datetime(2013, 5, 29, 10, 56, 19), 0.211686793417406, False, 'time']
['theuniz', 202594102, 'impression', '6', 241572984L, datetime.datetime(2013, 5, 29, 10, 56, 19), 0.151029152385789, False, 'time']
['theuniz', 202594102, 'impression', '10', 241572738L, datetime.datetime(2013, 5, 29, 10, 56, 19), 0.168450158950959, False, 'time']
['theuniz', 202594102, 'impression', '1', 241573164L, datetime.datetime(2013, 5, 29, 10, 56, 19), 0.122917411045501, False, 'time']
['theuniz', 202594102, 'view_full_application_via_name', '8', 241572860L, datetime.datetime(2013, 5, 29, 10, 56, 25), 0.0741882048802662, False, 'time']
['theuniz', 202594102, 'impression', '12', 241572661L, datetime.datetime(2013, 5, 29, 10, 57, 46), 0.0889941857023133, False, 'time']
['theuniz', 202594102, 'impression', '3', 241573067L, datetime.datetime(2013, 5, 29, 10, 57, 46), 0.195168771535555, False, 'time']
['theuniz', 202594102, 'impression', '7', 241572864L, datetime.datetime(2013, 5, 29, 10, 57, 46), 0.211686793417406, False, 'time']
['theuniz', 202594102, 'impression', '6', 241572984L, datetime.datetime(2013, 5, 29, 10, 57, 46), 0.151029152385789, False, 'time']
['theuniz', 202594102, 'impression', '2', 241573102L, datetime.datetime(2013, 5, 29, 10, 57, 46), 0.215566082567661, False, 'time']
['theuniz', 202594102, 'impression', '5', 241573006L, datetime.datetime(2013, 5, 29, 10, 57, 46), 0.110130851076947, False, 'time']
['theuniz', 202594102, 'impression', '9', 241572819L, datetime.datetime(2013, 5, 29, 10, 57, 46), 0.187188800643173, False, 'time']
['theuniz', 202594102, 'impression', '10', 241572738L, datetime.datetime(2013, 5, 29, 10, 57, 46), 0.168450158950959, False, 'time']
['theuniz', 202594102, 'impression', '1', 241573164L, datetime.datetime(2013, 5, 29, 10, 57, 46), 0.122917411045501, False, 'time']
['theuniz', 202594102, 'impression', '8', 241572860L, datetime.datetime(2013, 5, 29, 10, 57, 46), 0.0741882048802662, False, 'time']
