['tran1234', 202539717, 'impression', '4', 240425068L, datetime.datetime(2013, 5, 16, 7, 9, 12), 0.0472837727106638, False, 'best']
['tran1234', 202539717, 'impression', '8', 240455742L, datetime.datetime(2013, 5, 16, 7, 9, 12), 0.0873075666630093, False, 'best']
['tran1234', 202539717, 'impression', '11', 240478043L, datetime.datetime(2013, 5, 16, 7, 9, 12), 0.046347639113987, False, 'best']
['tran1234', 202539717, 'impression', '12', 240478091L, datetime.datetime(2013, 5, 16, 7, 9, 12), 0.0457331165050349, False, 'best']
['tran1234', 202539717, 'impression', '9', 240456213L, datetime.datetime(2013, 5, 16, 7, 9, 12), 0.0408539123717787, False, 'best']
['tran1234', 202539717, 'impression', '10', 240476472L, datetime.datetime(2013, 5, 16, 7, 9, 12), 0.145632711591233, False, 'best']

['tran1234', 202539717, 'impression', '5', 240432825L, datetime.datetime(2013, 5, 16, 16, 18, 38), 0.0679553948810648, False, 'best']
['tran1234', 202539717, 'impression', '4', 240452142L, datetime.datetime(2013, 5, 16, 16, 18, 38), 0.0754114983927867, False, 'best']
['tran1234', 202539717, 'impression', '8', 240423226L, datetime.datetime(2013, 5, 16, 16, 18, 38), 0.0282769905871327, False, 'best']
['tran1234', 202539717, 'impression', '1', 240423275L, datetime.datetime(2013, 5, 16, 16, 18, 38), 0.209300567315063, False, 'best']
['tran1234', 202539717, 'impression', '13', 240495360L, datetime.datetime(2013, 5, 16, 16, 18, 38), 0.109453894828811, False, 'best']
['tran1234', 202539717, 'impression', '6', 240425068L, datetime.datetime(2013, 5, 16, 16, 18, 38), 0.0472837727106638, False, 'best']
['tran1234', 202539717, 'impression', '3', 240455742L, datetime.datetime(2013, 5, 16, 16, 18, 38), 0.0873075666630093, False, 'best']
['tran1234', 202539717, 'impression', '11', 240478043L, datetime.datetime(2013, 5, 16, 16, 18, 38), 0.046347639113987, False, 'best']
['tran1234', 202539717, 'impression', '12', 240478091L, datetime.datetime(2013, 5, 16, 16, 18, 38), 0.0457331165050349, False, 'best']
['tran1234', 202539717, 'impression', '10', 240476472L, datetime.datetime(2013, 5, 16, 16, 18, 38), 0.145632711591233, False, 'best']
['tran1234', 202539717, 'impression', '7', 240456213L, datetime.datetime(2013, 5, 16, 16, 18, 38), 0.0408539123717787, False, 'best']
['tran1234', 202539717, 'impression', '9', 240421471L, datetime.datetime(2013, 5, 16, 16, 18, 38), 0.0274314662101028, False, 'best']
['tran1234', 202539717, 'impression', '2', 240421503L, datetime.datetime(2013, 5, 16, 16, 18, 38), 0.12361300178786, False, 'best']
['tran1234', 202539717, 'impression', '14', 240546128L, datetime.datetime(2013, 5, 16, 16, 18, 38), 0.0515666604312248, False, 'best']
['tran1234', 202539717, 'view_full_application_via_name', '4', 240452142L, datetime.datetime(2013, 5, 16, 16, 18, 54), 0.0754114983927867, False, 'best']
['tran1234', 202539717, 'impression', '6', 240425068L, datetime.datetime(2013, 5, 16, 16, 19, 41), 0.0472837727106638, False, 'best']
['tran1234', 202539717, 'impression', '13', 240495360L, datetime.datetime(2013, 5, 16, 16, 19, 41), 0.109453894828811, False, 'best']
['tran1234', 202539717, 'impression', '1', 240423275L, datetime.datetime(2013, 5, 16, 16, 19, 41), 0.209300567315063, False, 'best']
['tran1234', 202539717, 'impression', '10', 240476472L, datetime.datetime(2013, 5, 16, 16, 19, 41), 0.145632711591233, False, 'best']
['tran1234', 202539717, 'impression', '7', 240456213L, datetime.datetime(2013, 5, 16, 16, 19, 41), 0.0408539123717787, False, 'best']
['tran1234', 202539717, 'impression', '12', 240478091L, datetime.datetime(2013, 5, 16, 16, 19, 41), 0.0457331165050349, False, 'best']
['tran1234', 202539717, 'impression', '3', 240455742L, datetime.datetime(2013, 5, 16, 16, 19, 41), 0.0873075666630093, False, 'best']
['tran1234', 202539717, 'impression', '11', 240478043L, datetime.datetime(2013, 5, 16, 16, 19, 41), 0.046347639113987, False, 'best']
['tran1234', 202539717, 'impression', '8', 240423226L, datetime.datetime(2013, 5, 16, 16, 19, 41), 0.0282769905871327, False, 'best']
['tran1234', 202539717, 'impression', '4', 240452142L, datetime.datetime(2013, 5, 16, 16, 19, 41), 0.0754114983927867, False, 'best']
['tran1234', 202539717, 'impression', '2', 240421503L, datetime.datetime(2013, 5, 16, 16, 19, 41), 0.12361300178786, False, 'best']
['tran1234', 202539717, 'impression', '9', 240421471L, datetime.datetime(2013, 5, 16, 16, 19, 41), 0.0274314662101028, False, 'best']
