['jngdmg', 202566307, 'impression', '1', 241125377L, datetime.datetime(2013, 5, 23, 23, 33, 13), 0.0522996584897487, False, 'time']
['jngdmg', 202566307, 'impression', '17', 240985103L, datetime.datetime(2013, 5, 23, 23, 33, 13), 0.00730716742615379, False, 'time']
['jngdmg', 202566307, 'impression', '13', 240995804L, datetime.datetime(2013, 5, 23, 23, 33, 13), 0.0170263015800525, False, 'time']
['jngdmg', 202566307, 'impression', '5', 241028886L, datetime.datetime(2013, 5, 23, 23, 33, 13), 0.019242857607702, False, 'time']
['jngdmg', 202566307, 'impression', '8', 241004318L, datetime.datetime(2013, 5, 23, 23, 33, 13), 0.0282198077089411, False, 'time']
['jngdmg', 202566307, 'impression', '4', 241047237L, datetime.datetime(2013, 5, 23, 23, 33, 13), 0.0802368050354508, False, 'time']
['jngdmg', 202566307, 'impression', '9', 240999289L, datetime.datetime(2013, 5, 23, 23, 33, 13), 0.0229159754721604, False, 'time']
['jngdmg', 202566307, 'impression', '6', 241021052L, datetime.datetime(2013, 5, 23, 23, 33, 13), 0.0208182058368473, False, 'time']
['jngdmg', 202566307, 'impression', '18', 240984774L, datetime.datetime(2013, 5, 23, 23, 33, 13), 0.0151663425007527, False, 'time']
['jngdmg', 202566307, 'impression', '3', 241051895L, datetime.datetime(2013, 5, 23, 23, 33, 13), 0.0708566169392863, False, 'time']
['jngdmg', 202566307, 'impression', '7', 241009984L, datetime.datetime(2013, 5, 23, 23, 33, 13), 0.050533533959769, False, 'time']
['jngdmg', 202566307, 'impression', '2', 241056396L, datetime.datetime(2013, 5, 23, 23, 33, 13), 0.037370841305015, False, 'time']
['jngdmg', 202566307, 'impression', '15', 240991361L, datetime.datetime(2013, 5, 23, 23, 33, 13), 0.0156362472769107, False, 'time']
['jngdmg', 202566307, 'impression', '19', 240983462L, datetime.datetime(2013, 5, 23, 23, 33, 13), 0.0461803784538475, False, 'time']
['jngdmg', 202566307, 'impression', '20', 240982856L, datetime.datetime(2013, 5, 23, 23, 33, 13), 0.014222896643876, False, 'time']
['jngdmg', 202566307, 'impression', '14', 240994951L, datetime.datetime(2013, 5, 23, 23, 33, 13), 0.0234232044271147, False, 'time']
['jngdmg', 202566307, 'impression', '16', 240989690L, datetime.datetime(2013, 5, 23, 23, 33, 13), 0.0109330036941744, False, 'time']
['jngdmg', 202566307, 'impression', '11', 240996441L, datetime.datetime(2013, 5, 23, 23, 33, 13), 0.0618512047886338, False, 'time']
['jngdmg', 202566307, 'impression', '10', 240998983L, datetime.datetime(2013, 5, 23, 23, 33, 13), 0.0454733712380777, False, 'time']
['jngdmg', 202566307, 'impression', '12', 240995823L, datetime.datetime(2013, 5, 23, 23, 33, 13), 0.0412163459493397, False, 'time']
['jngdmg', 202566307, 'expand_tile', '2', 241056396L, datetime.datetime(2013, 5, 23, 23, 33, 26), 0.037370841305015, False, 'time']
['jngdmg', 202566307, 'expand_tile', '5', 241028886L, datetime.datetime(2013, 5, 23, 23, 33, 50), 0.019242857607702, False, 'time']
['jngdmg', 202566307, 'collapse_tile', '5', 241028886L, datetime.datetime(2013, 5, 23, 23, 34, 14), 0.019242857607702, False, 'time']
