['stevennewman', 202587985, 'impression', '3', 241441116L, datetime.datetime(2013, 5, 28, 1, 44, 11), 0.117208215825357, False, 'best']
['stevennewman', 202587985, 'impression', '1', 241441557L, datetime.datetime(2013, 5, 28, 1, 44, 11), 0.258385636349867, False, 'best']
['stevennewman', 202587985, 'impression', '2', 241441500L, datetime.datetime(2013, 5, 28, 1, 44, 11), 0.163534264962037, False, 'best']
['stevennewman', 202587985, 'expand_tile', '3', 241441116L, datetime.datetime(2013, 5, 28, 1, 44, 19), 0.117208215825357, False, 'best']
['stevennewman', 202587985, 'view_full_application_via_name', '2', 241441500L, datetime.datetime(2013, 5, 28, 1, 44, 33), 0.163534264962037, False, 'best']
['stevennewman', 202587985, 'impression', '2', 241441500L, datetime.datetime(2013, 5, 28, 1, 44, 58), 0.163534264962037, False, 'best']
['stevennewman', 202587985, 'impression', '1', 241441557L, datetime.datetime(2013, 5, 28, 1, 44, 58), 0.258385636349867, False, 'best']
['stevennewman', 202587985, 'impression', '3', 241441116L, datetime.datetime(2013, 5, 28, 1, 44, 58), 0.117208215825357, False, 'best']
['stevennewman', 202587985, 'expand_tile', '1', 241441557L, datetime.datetime(2013, 5, 28, 1, 44, 59), 0.258385636349867, False, 'best']

['stevennewman', 202587985, 'impression', '1', 241441557L, datetime.datetime(2013, 5, 28, 3, 6, 17), 0.258385636349867, False, 'best']
['stevennewman', 202587985, 'impression', '2', 241443925L, datetime.datetime(2013, 5, 28, 3, 6, 17), 0.187568418438611, False, 'best']
['stevennewman', 202587985, 'impression', '6', 241443150L, datetime.datetime(2013, 5, 28, 3, 6, 17), 0.0834971029674381, False, 'best']
['stevennewman', 202587985, 'impression', '5', 241441116L, datetime.datetime(2013, 5, 28, 3, 6, 17), 0.117208215825357, False, 'best']
['stevennewman', 202587985, 'impression', '4', 241443081L, datetime.datetime(2013, 5, 28, 3, 6, 17), 0.133644404781679, False, 'best']
['stevennewman', 202587985, 'impression', '3', 241441500L, datetime.datetime(2013, 5, 28, 3, 6, 17), 0.163534264962037, False, 'best']
['stevennewman', 202587985, 'impression', '7', 241444353L, datetime.datetime(2013, 5, 28, 3, 6, 17), 0.0809895538039615, False, 'best']
['stevennewman', 202587985, 'expand_tile', '2', 241443925L, datetime.datetime(2013, 5, 28, 3, 6, 31), 0.187568418438611, False, 'best']
['stevennewman', 202587985, 'expand_tile', '4', 241443081L, datetime.datetime(2013, 5, 28, 3, 7, 1), 0.133644404781679, False, 'best']
['stevennewman', 202587985, 'expand_tile', '6', 241443150L, datetime.datetime(2013, 5, 28, 3, 7, 45), 0.0834971029674381, False, 'best']
['stevennewman', 202587985, 'collapse_tile', '4', 241443081L, datetime.datetime(2013, 5, 28, 3, 7, 53), 0.133644404781679, False, 'best']
['stevennewman', 202587985, 'expand_tile', '5', 241441116L, datetime.datetime(2013, 5, 28, 3, 7, 54), 0.117208215825357, False, 'best']
['stevennewman', 202587985, 'expand_tile', '4', 241443081L, datetime.datetime(2013, 5, 28, 3, 7, 55), 0.133644404781679, False, 'best']

['stevennewman', 202587985, 'impression', '7', 241447509L, datetime.datetime(2013, 5, 28, 5, 59, 48), 0.114721014657517, False, 'best']
['stevennewman', 202587985, 'impression', '9', 241452175L, datetime.datetime(2013, 5, 28, 5, 59, 48), 0.109633177519457, False, 'best']
['stevennewman', 202587985, 'impression', '13', 241444353L, datetime.datetime(2013, 5, 28, 5, 59, 48), 0.0809895538039615, False, 'best']
['stevennewman', 202587985, 'impression', '11', 241451593L, datetime.datetime(2013, 5, 28, 5, 59, 48), 0.0967322585010733, False, 'best']
['stevennewman', 202587985, 'impression', '6', 241441116L, datetime.datetime(2013, 5, 28, 5, 59, 48), 0.117208215825357, False, 'best']
['stevennewman', 202587985, 'impression', '5', 241449226L, datetime.datetime(2013, 5, 28, 5, 59, 48), 0.125162317556634, False, 'best']
['stevennewman', 202587985, 'impression', '14', 241452028L, datetime.datetime(2013, 5, 28, 5, 59, 48), 0.0586160987119453, False, 'best']
['stevennewman', 202587985, 'impression', '12', 241443150L, datetime.datetime(2013, 5, 28, 5, 59, 48), 0.0834971029674381, False, 'best']
['stevennewman', 202587985, 'impression', '2', 241443925L, datetime.datetime(2013, 5, 28, 5, 59, 48), 0.187568418438611, False, 'best']
