['l_suza', 202580013, 'impression', '8', 241258773L, datetime.datetime(2013, 5, 25, 8, 54, 39), 0.00204207848952555, False, 'best']
['l_suza', 202580013, 'impression', '11', 241258658L, datetime.datetime(2013, 5, 25, 8, 54, 39), 0.00175014234210564, False, 'best']
['l_suza', 202580013, 'impression', '14', 241258335L, datetime.datetime(2013, 5, 25, 8, 54, 39), 0.00110578025145556, False, 'best']
['l_suza', 202580013, 'impression', '17', 241258335L, datetime.datetime(2013, 5, 25, 8, 54, 56), 0.00110578025145556, False, 'time']
['l_suza', 202580013, 'impression', '4', 241258658L, datetime.datetime(2013, 5, 25, 8, 54, 56), 0.00175014234210564, False, 'time']
['l_suza', 202580013, 'impression', '1', 241258773L, datetime.datetime(2013, 5, 25, 8, 54, 56), 0.00204207848952555, False, 'time']
['l_suza', 202580013, 'impression', '3', 241258682L, datetime.datetime(2013, 5, 25, 8, 54, 56), 0.00407176976835038, False, 'time']
['l_suza', 202580013, 'impression', '14', 241258415L, datetime.datetime(2013, 5, 25, 8, 54, 56), 0.00528519156770951, False, 'time']
['l_suza', 202580013, 'impression', '8', 241258561L, datetime.datetime(2013, 5, 25, 8, 54, 56), 0.0039392119453924, False, 'time']
['l_suza', 202580013, 'impression', '12', 241258432L, datetime.datetime(2013, 5, 25, 8, 54, 56), 0.000138011303869903, False, 'time']
['l_suza', 202580013, 'impression', '2', 241258705L, datetime.datetime(2013, 5, 25, 8, 54, 56), 0.00180045715530931, False, 'time']
['l_suza', 202580013, 'impression', '7', 241258569L, datetime.datetime(2013, 5, 25, 8, 54, 56), 0.00211231655235303, False, 'time']
['l_suza', 202580013, 'impression', '5', 241258624L, datetime.datetime(2013, 5, 25, 8, 54, 56), 0.00279297493762163, False, 'time']
['l_suza', 202580013, 'impression', '9', 241258528L, datetime.datetime(2013, 5, 25, 8, 54, 56), 0.00113040076824246, False, 'time']
['l_suza', 202580013, 'impression', '13', 241258428L, datetime.datetime(2013, 5, 25, 8, 54, 56), 0.000958838417523142, False, 'time']
['l_suza', 202580013, 'impression', '11', 241258436L, datetime.datetime(2013, 5, 25, 8, 54, 56), 0.00086780893105716, False, 'time']
['l_suza', 202580013, 'impression', '15', 241258388L, datetime.datetime(2013, 5, 25, 8, 54, 56), 0.00241626657301933, False, 'time']
