['steenc', 202593684, 'impression', '1', 241561843L, datetime.datetime(2013, 5, 29, 8, 11, 18), 0.0495205819014658, False, 'time']
['steenc', 202593684, 'impression', '2', 241561786L, datetime.datetime(2013, 5, 29, 8, 11, 18), 0.0751349652295725, False, 'time']
['steenc', 202593684, 'view_full_application_via_name', '1', 241561843L, datetime.datetime(2013, 5, 29, 8, 11, 33), 0.0495205819014658, False, 'time']

['steenc', 202593684, 'impression', '11', 241561974L, datetime.datetime(2013, 5, 29, 9, 49, 21), 0.0269889590148152, False, 'time']
['steenc', 202593684, 'impression', '1', 241567527L, datetime.datetime(2013, 5, 29, 9, 49, 21), 0.272843891982366, False, 'time']
['steenc', 202593684, 'impression', '10', 241562099L, datetime.datetime(2013, 5, 29, 9, 49, 21), 0.299917012068578, False, 'time']
['steenc', 202593684, 'impression', '12', 241561907L, datetime.datetime(2013, 5, 29, 9, 49, 21), 0.0426429041379676, False, 'time']
['steenc', 202593684, 'impression', '2', 241565891L, datetime.datetime(2013, 5, 29, 9, 49, 21), 0.2939272017022, False, 'time']
['steenc', 202593684, 'impression', '5', 241565238L, datetime.datetime(2013, 5, 29, 9, 49, 21), 0.079548976709655, False, 'time']
['steenc', 202593684, 'impression', '14', 241561786L, datetime.datetime(2013, 5, 29, 9, 49, 21), 0.0751349652295725, False, 'time']
['steenc', 202593684, 'impression', '8', 241562654L, datetime.datetime(2013, 5, 29, 9, 49, 21), 0.0247246372328959, False, 'time']
['steenc', 202593684, 'impression', '6', 241563770L, datetime.datetime(2013, 5, 29, 9, 49, 21), 0.0860337149756172, False, 'time']
['steenc', 202593684, 'impression', '13', 241561843L, datetime.datetime(2013, 5, 29, 9, 49, 21), 0.0495205819014658, False, 'time']
['steenc', 202593684, 'impression', '3', 241565580L, datetime.datetime(2013, 5, 29, 9, 49, 21), 0.0916793733467344, False, 'time']
['steenc', 202593684, 'impression', '7', 241562744L, datetime.datetime(2013, 5, 29, 9, 49, 21), 0.0489828005001949, False, 'time']
['steenc', 202593684, 'impression', '9', 241562634L, datetime.datetime(2013, 5, 29, 9, 49, 21), 0.129485961144944, False, 'time']
['steenc', 202593684, 'impression', '4', 241565376L, datetime.datetime(2013, 5, 29, 9, 49, 21), 0.460039681630213, False, 'time']
['steenc', 202593684, 'view_full_application_via_name', '2', 241565891L, datetime.datetime(2013, 5, 29, 9, 49, 55), 0.2939272017022, False, 'time']
['steenc', 202593684, 'impression', '9', 241562654L, datetime.datetime(2013, 5, 29, 9, 59, 53), 0.0247246372328959, False, 'time']
['steenc', 202593684, 'impression', '7', 241563770L, datetime.datetime(2013, 5, 29, 9, 59, 53), 0.0860337149756172, False, 'time']
['steenc', 202593684, 'impression', '15', 241561786L, datetime.datetime(2013, 5, 29, 9, 59, 53), 0.0751349652295725, False, 'time']
['steenc', 202593684, 'impression', '1', 241568791L, datetime.datetime(2013, 5, 29, 9, 59, 53), 0.159156381158249, False, 'time']
['steenc', 202593684, 'impression', '3', 241565891L, datetime.datetime(2013, 5, 29, 9, 59, 53), 0.2939272017022, False, 'time']
['steenc', 202593684, 'impression', '13', 241561907L, datetime.datetime(2013, 5, 29, 9, 59, 53), 0.0426429041379676, False, 'time']
['steenc', 202593684, 'impression', '6', 241565238L, datetime.datetime(2013, 5, 29, 9, 59, 53), 0.079548976709655, False, 'time']
['steenc', 202593684, 'impression', '11', 241562099L, datetime.datetime(2013, 5, 29, 9, 59, 53), 0.299917012068578, False, 'time']
