['chernyakmaria', 202560168, 'impression', '10', 240862332L, datetime.datetime(2013, 5, 26, 8, 5, 23), 0.114771294174993, True, 'best']
['chernyakmaria', 202560168, 'impression', '1', 240863587L, datetime.datetime(2013, 5, 26, 8, 5, 23), 0.360433883311011, False, 'best']
['chernyakmaria', 202560168, 'impression', '7', 240870284L, datetime.datetime(2013, 5, 26, 8, 5, 23), 0.144225983020594, False, 'best']
['chernyakmaria', 202560168, 'impression', '16', 240861265L, datetime.datetime(2013, 5, 26, 8, 5, 23), 0.053116459832687, False, 'best']
['chernyakmaria', 202560168, 'impression', '2', 240861551L, datetime.datetime(2013, 5, 26, 8, 5, 23), 0.257479857023768, False, 'best']
['chernyakmaria', 202560168, 'impression', '8', 240903390L, datetime.datetime(2013, 5, 26, 8, 5, 23), 0.140765066537478, False, 'best']
['chernyakmaria', 202560168, 'impression', '14', 240982303L, datetime.datetime(2013, 5, 26, 8, 5, 23), 0.054338169317326, False, 'best']
['chernyakmaria', 202560168, 'impression', '3', 240910598L, datetime.datetime(2013, 5, 26, 8, 5, 23), 0.238561294269066, False, 'best']
['chernyakmaria', 202560168, 'impression', '6', 241109357L, datetime.datetime(2013, 5, 26, 8, 5, 23), 0.157878862110475, False, 'best']
['chernyakmaria', 202560168, 'impression', '9', 240867988L, datetime.datetime(2013, 5, 26, 8, 5, 23), 0.122342351075445, False, 'best']
['chernyakmaria', 202560168, 'impression', '11', 241202988L, datetime.datetime(2013, 5, 26, 8, 5, 23), 0.0754067491740884, False, 'best']
['chernyakmaria', 202560168, 'impression', '15', 240880380L, datetime.datetime(2013, 5, 26, 8, 5, 23), 0.0533929977110272, False, 'best']
['chernyakmaria', 202560168, 'impression', '5', 240874264L, datetime.datetime(2013, 5, 26, 8, 5, 23), 0.177664869240469, False, 'best']
['chernyakmaria', 202560168, 'impression', '13', 240988775L, datetime.datetime(2013, 5, 26, 8, 5, 23), 0.0583835470449653, False, 'best']
['chernyakmaria', 202560168, 'impression', '12', 240866608L, datetime.datetime(2013, 5, 26, 8, 5, 23), 0.0664769599640185, False, 'best']
['chernyakmaria', 202560168, 'view_full_application_via_name', '2', 240861551L, datetime.datetime(2013, 5, 26, 8, 5, 34), 0.257479857023768, False, 'best']
['chernyakmaria', 202560168, 'impression', '5', 240874264L, datetime.datetime(2013, 5, 26, 8, 12, 13), 0.177664869240469, False, 'best']
['chernyakmaria', 202560168, 'impression', '12', 240866608L, datetime.datetime(2013, 5, 26, 8, 12, 13), 0.0664769599640185, False, 'best']
['chernyakmaria', 202560168, 'impression', '13', 240988775L, datetime.datetime(2013, 5, 26, 8, 12, 13), 0.0583835470449653, False, 'best']
['chernyakmaria', 202560168, 'impression', '11', 241202988L, datetime.datetime(2013, 5, 26, 8, 12, 13), 0.0754067491740884, False, 'best']
['chernyakmaria', 202560168, 'impression', '15', 240880380L, datetime.datetime(2013, 5, 26, 8, 12, 13), 0.0533929977110272, False, 'best']
['chernyakmaria', 202560168, 'impression', '6', 241109357L, datetime.datetime(2013, 5, 26, 8, 12, 13), 0.157878862110475, False, 'best']
['chernyakmaria', 202560168, 'impression', '9', 240867988L, datetime.datetime(2013, 5, 26, 8, 12, 13), 0.122342351075445, False, 'best']
['chernyakmaria', 202560168, 'impression', '3', 240910598L, datetime.datetime(2013, 5, 26, 8, 12, 13), 0.238561294269066, False, 'best']
['chernyakmaria', 202560168, 'impression', '2', 240861551L, datetime.datetime(2013, 5, 26, 8, 12, 13), 0.257479857023768, False, 'best']
['chernyakmaria', 202560168, 'impression', '16', 240861265L, datetime.datetime(2013, 5, 26, 8, 12, 13), 0.053116459832687, False, 'best']
['chernyakmaria', 202560168, 'impression', '7', 240870284L, datetime.datetime(2013, 5, 26, 8, 12, 13), 0.144225983020594, False, 'best']
['chernyakmaria', 202560168, 'impression', '8', 240903390L, datetime.datetime(2013, 5, 26, 8, 12, 13), 0.140765066537478, False, 'best']
['chernyakmaria', 202560168, 'impression', '14', 240982303L, datetime.datetime(2013, 5, 26, 8, 12, 13), 0.054338169317326, False, 'best']
['chernyakmaria', 202560168, 'impression', '4', 240936645L, datetime.datetime(2013, 5, 26, 8, 12, 13), 0.195343210454332, False, 'best']
['chernyakmaria', 202560168, 'impression', '10', 240862332L, datetime.datetime(2013, 5, 26, 8, 12, 13), 0.114771294174993, True, 'best']
['chernyakmaria', 202560168, 'impression', '1', 240863587L, datetime.datetime(2013, 5, 26, 8, 12, 13), 0.360433883311011, False, 'best']
['chernyakmaria', 202560168, 'impression', '6', 241109357L, datetime.datetime(2013, 5, 26, 8, 12, 49), 0.157878862110475, False, 'best']
['chernyakmaria', 202560168, 'impression', '15', 240880380L, datetime.datetime(2013, 5, 26, 8, 12, 49), 0.0533929977110272, False, 'best']
['chernyakmaria', 202560168, 'impression', '9', 240867988L, datetime.datetime(2013, 5, 26, 8, 12, 49), 0.122342351075445, False, 'best']
['chernyakmaria', 202560168, 'impression', '3', 240910598L, datetime.datetime(2013, 5, 26, 8, 12, 49), 0.238561294269066, False, 'best']
['chernyakmaria', 202560168, 'impression', '11', 241202988L, datetime.datetime(2013, 5, 26, 8, 12, 49), 0.0754067491740884, False, 'best']
['chernyakmaria', 202560168, 'impression', '13', 240988775L, datetime.datetime(2013, 5, 26, 8, 12, 49), 0.0583835470449653, False, 'best']
['chernyakmaria', 202560168, 'impression', '12', 240866608L, datetime.datetime(2013, 5, 26, 8, 12, 49), 0.0664769599640185, False, 'best']
['chernyakmaria', 202560168, 'impression', '5', 240874264L, datetime.datetime(2013, 5, 26, 8, 12, 49), 0.177664869240469, False, 'best']
['chernyakmaria', 202560168, 'impression', '16', 240861265L, datetime.datetime(2013, 5, 26, 8, 12, 49), 0.053116459832687, False, 'best']
['chernyakmaria', 202560168, 'impression', '7', 240870284L, datetime.datetime(2013, 5, 26, 8, 12, 49), 0.144225983020594, False, 'best']
['chernyakmaria', 202560168, 'impression', '8', 240903390L, datetime.datetime(2013, 5, 26, 8, 12, 49), 0.140765066537478, False, 'best']
['chernyakmaria', 202560168, 'impression', '14', 240982303L, datetime.datetime(2013, 5, 26, 8, 12, 49), 0.054338169317326, False, 'best']
['chernyakmaria', 202560168, 'impression', '10', 240862332L, datetime.datetime(2013, 5, 26, 8, 12, 49), 0.114771294174993, True, 'best']
['chernyakmaria', 202560168, 'impression', '4', 240936645L, datetime.datetime(2013, 5, 26, 8, 12, 49), 0.195343210454332, False, 'best']
['chernyakmaria', 202560168, 'impression', '1', 240863587L, datetime.datetime(2013, 5, 26, 8, 12, 49), 0.360433883311011, False, 'best']
['chernyakmaria', 202560168, 'impression', '2', 240861551L, datetime.datetime(2013, 5, 26, 8, 12, 49), 0.257479857023768, False, 'best']
['chernyakmaria', 202560168, 'view_full_application_via_name', '1', 240863587L, datetime.datetime(2013, 5, 26, 8, 12, 53), 0.360433883311011, False, 'best']
['chernyakmaria', 202560168, 'impression', '5', 240874264L, datetime.datetime(2013, 5, 26, 8, 15, 23), 0.177664869240469, False, 'best']
['chernyakmaria', 202560168, 'impression', '13', 240988775L, datetime.datetime(2013, 5, 26, 8, 15, 23), 0.0583835470449653, False, 'best']
['chernyakmaria', 202560168, 'impression', '12', 240866608L, datetime.datetime(2013, 5, 26, 8, 15, 23), 0.0664769599640185, False, 'best']
['chernyakmaria', 202560168, 'impression', '3', 240910598L, datetime.datetime(2013, 5, 26, 8, 15, 23), 0.238561294269066, False, 'best']
['chernyakmaria', 202560168, 'impression', '6', 241109357L, datetime.datetime(2013, 5, 26, 8, 15, 23), 0.157878862110475, False, 'best']
['chernyakmaria', 202560168, 'impression', '9', 240867988L, datetime.datetime(2013, 5, 26, 8, 15, 23), 0.122342351075445, False, 'best']
['chernyakmaria', 202560168, 'impression', '15', 240880380L, datetime.datetime(2013, 5, 26, 8, 15, 23), 0.0533929977110272, False, 'best']
['chernyakmaria', 202560168, 'impression', '11', 241202988L, datetime.datetime(2013, 5, 26, 8, 15, 23), 0.0754067491740884, False, 'best']
['chernyakmaria', 202560168, 'impression', '7', 240870284L, datetime.datetime(2013, 5, 26, 8, 15, 23), 0.144225983020594, False, 'best']
['chernyakmaria', 202560168, 'impression', '16', 240861265L, datetime.datetime(2013, 5, 26, 8, 15, 23), 0.053116459832687, False, 'best']
['chernyakmaria', 202560168, 'impression', '1', 240863587L, datetime.datetime(2013, 5, 26, 8, 15, 23), 0.360433883311011, False, 'best']
['chernyakmaria', 202560168, 'impression', '10', 240862332L, datetime.datetime(2013, 5, 26, 8, 15, 23), 0.114771294174993, True, 'best']
['chernyakmaria', 202560168, 'impression', '4', 240936645L, datetime.datetime(2013, 5, 26, 8, 15, 23), 0.195343210454332, False, 'best']
['chernyakmaria', 202560168, 'impression', '2', 240861551L, datetime.datetime(2013, 5, 26, 8, 15, 23), 0.257479857023768, False, 'best']
['chernyakmaria', 202560168, 'impression', '14', 240982303L, datetime.datetime(2013, 5, 26, 8, 15, 23), 0.054338169317326, False, 'best']
['chernyakmaria', 202560168, 'impression', '8', 240903390L, datetime.datetime(2013, 5, 26, 8, 15, 23), 0.140765066537478, False, 'best']
['chernyakmaria', 202560168, 'view_full_application_via_name', '5', 240874264L, datetime.datetime(2013, 5, 26, 8, 15, 50), 0.177664869240469, False, 'best']
['chernyakmaria', 202560168, 'impression', '5', 240874264L, datetime.datetime(2013, 5, 26, 8, 23, 23), 0.177664869240469, False, 'best']
['chernyakmaria', 202560168, 'impression', '4', 240936645L, datetime.datetime(2013, 5, 26, 8, 23, 23), 0.195343210454332, False, 'best']
['chernyakmaria', 202560168, 'impression', '1', 240863587L, datetime.datetime(2013, 5, 26, 8, 23, 23), 0.360433883311011, False, 'best']
['chernyakmaria', 202560168, 'impression', '10', 240862332L, datetime.datetime(2013, 5, 26, 8, 23, 23), 0.114771294174993, True, 'best']
['chernyakmaria', 202560168, 'impression', '8', 240903390L, datetime.datetime(2013, 5, 26, 8, 23, 23), 0.140765066537478, False, 'best']
