['semolsjeco', 202540445, 'impression', '2', 240438087L, datetime.datetime(2013, 5, 15, 9, 44, 56), 0.0217622670544757, False, 'best']
['semolsjeco', 202540445, 'impression', '8', 240440643L, datetime.datetime(2013, 5, 16, 18, 33, 14), 0.0439209889161816, False, 'best']
['semolsjeco', 202540445, 'impression', '18', 240465206L, datetime.datetime(2013, 5, 16, 18, 33, 14), 0.0175385688601842, False, 'best']
['semolsjeco', 202540445, 'impression', '17', 240438691L, datetime.datetime(2013, 5, 16, 18, 33, 14), 0.0209510343225618, False, 'best']
['semolsjeco', 202540445, 'impression', '2', 240439991L, datetime.datetime(2013, 5, 16, 18, 33, 14), 0.0940686683548949, False, 'best']
['semolsjeco', 202540445, 'impression', '1', 240440947L, datetime.datetime(2013, 5, 16, 18, 33, 14), 0.0960156915231305, False, 'best']
['semolsjeco', 202540445, 'impression', '14', 240470315L, datetime.datetime(2013, 5, 16, 18, 33, 14), 0.0260742923206372, False, 'best']
['semolsjeco', 202540445, 'impression', '16', 240438087L, datetime.datetime(2013, 5, 16, 18, 33, 14), 0.0217622670544757, False, 'best']
['semolsjeco', 202540445, 'impression', '4', 240439612L, datetime.datetime(2013, 5, 16, 18, 34, 20), 0.0761961610461564, False, 'best']
['semolsjeco', 202540445, 'impression', '6', 240441278L, datetime.datetime(2013, 5, 16, 18, 34, 21), 0.0661274651963014, False, 'best']
['semolsjeco', 202540445, 'shortlist', '16', 240438087L, datetime.datetime(2013, 5, 16, 18, 34, 39), 0.0217622670544757, False, 'best']
['semolsjeco', 202540445, 'unshortlist', '16', 240438087L, datetime.datetime(2013, 5, 16, 18, 34, 41), 0.0217622670544757, False, 'best']
['semolsjeco', 202540445, 'shortlist', '16', 240438087L, datetime.datetime(2013, 5, 16, 18, 34, 42), 0.0217622670544757, False, 'best']
['semolsjeco', 202540445, 'view_full_application', '4', 240439612L, datetime.datetime(2013, 5, 16, 18, 35, 19), 0.0761961610461564, False, 'best']

['semolsjeco', 202540445, 'impression', '17', 240465206L, datetime.datetime(2013, 5, 19, 9, 33, 52), 0.0175385688601842, False, 'best']
['semolsjeco', 202540445, 'impression', '16', 240438691L, datetime.datetime(2013, 5, 19, 9, 33, 52), 0.0209510343225618, False, 'best']
['semolsjeco', 202540445, 'impression', '8', 240440643L, datetime.datetime(2013, 5, 19, 9, 33, 52), 0.0439209889161816, False, 'best']
['semolsjeco', 202540445, 'impression', '2', 240439991L, datetime.datetime(2013, 5, 19, 9, 33, 52), 0.0940686683548949, False, 'best']
['semolsjeco', 202540445, 'impression', '1', 240440947L, datetime.datetime(2013, 5, 19, 9, 33, 52), 0.0960156915231305, False, 'best']
['semolsjeco', 202540445, 'impression', '14', 240470315L, datetime.datetime(2013, 5, 19, 9, 33, 52), 0.0260742923206372, False, 'best']
['semolsjeco', 202540445, 'impression', '10', 240441303L, datetime.datetime(2013, 5, 19, 9, 33, 52), 0.0370390699421943, False, 'best']
['semolsjeco', 202540445, 'impression', '4', 240439612L, datetime.datetime(2013, 5, 19, 9, 33, 52), 0.0761961610461564, False, 'best']
['semolsjeco', 202540445, 'impression', '11', 240441873L, datetime.datetime(2013, 5, 19, 9, 33, 52), 0.0327368966135269, False, 'best']
['semolsjeco', 202540445, 'impression', '3', 240460233L, datetime.datetime(2013, 5, 19, 9, 33, 52), 0.0828209024859197, False, 'best']
['semolsjeco', 202540445, 'impression', '15', 240440420L, datetime.datetime(2013, 5, 19, 9, 33, 52), 0.0226250564085935, False, 'best']
['semolsjeco', 202540445, 'impression', '12', 240437635L, datetime.datetime(2013, 5, 19, 9, 33, 52), 0.0319841292705873, False, 'best']
['semolsjeco', 202540445, 'impression', '9', 240439440L, datetime.datetime(2013, 5, 19, 9, 33, 52), 0.0426844820439582, False, 'best']
['semolsjeco', 202540445, 'impression', '13', 240447078L, datetime.datetime(2013, 5, 19, 9, 33, 52), 0.027289887587784, False, 'best']
['semolsjeco', 202540445, 'impression', '7', 240441289L, datetime.datetime(2013, 5, 19, 9, 33, 52), 0.0617508329950138, False, 'best']
['semolsjeco', 202540445, 'impression', '6', 240441278L, datetime.datetime(2013, 5, 19, 9, 33, 52), 0.0661274651963014, False, 'best']
['semolsjeco', 202540445, 'impression', '5', 240448759L, datetime.datetime(2013, 5, 19, 9, 33, 52), 0.0693301985591503, False, 'best']

['semolsjeco', 202540445, 'impression', '9', 240439440L, datetime.datetime(2013, 5, 21, 11, 27, 20), 0.0426844820439582, False, 'best']
['semolsjeco', 202540445, 'impression', '12', 240437635L, datetime.datetime(2013, 5, 21, 11, 27, 20), 0.0319841292705873, False, 'best']
['semolsjeco', 202540445, 'impression', '14', 240440420L, datetime.datetime(2013, 5, 21, 11, 27, 20), 0.0226250564085935, False, 'best']
['semolsjeco', 202540445, 'impression', '7', 240441289L, datetime.datetime(2013, 5, 21, 11, 27, 20), 0.0617508329950138, False, 'best']
['semolsjeco', 202540445, 'impression', '1', 240440947L, datetime.datetime(2013, 5, 21, 11, 27, 20), 0.0960156915231305, False, 'best']
['semolsjeco', 202540445, 'impression', '13', 240470315L, datetime.datetime(2013, 5, 21, 11, 27, 20), 0.0260742923206372, False, 'best']
['semolsjeco', 202540445, 'impression', '2', 240439991L, datetime.datetime(2013, 5, 21, 11, 27, 20), 0.0940686683548949, False, 'best']
['semolsjeco', 202540445, 'impression', '20', 240803373L, datetime.datetime(2013, 5, 21, 11, 27, 20), 0.0659196186645111, False, 'best']
['semolsjeco', 202540445, 'impression', '5', 240448759L, datetime.datetime(2013, 5, 21, 11, 27, 20), 0.0693301985591503, False, 'best']
['semolsjeco', 202540445, 'impression', '6', 240441278L, datetime.datetime(2013, 5, 21, 11, 27, 20), 0.0661274651963014, False, 'best']
['semolsjeco', 202540445, 'impression', '3', 240460233L, datetime.datetime(2013, 5, 21, 11, 27, 20), 0.0828209024859197, False, 'best']
['semolsjeco', 202540445, 'impression', '11', 240441873L, datetime.datetime(2013, 5, 21, 11, 27, 20), 0.0327368966135269, False, 'best']
['semolsjeco', 202540445, 'impression', '4', 240439612L, datetime.datetime(2013, 5, 21, 11, 27, 20), 0.0761961610461564, False, 'best']
['semolsjeco', 202540445, 'impression', '16', 240465206L, datetime.datetime(2013, 5, 21, 11, 27, 20), 0.0175385688601842, False, 'best']
['semolsjeco', 202540445, 'impression', '15', 240438691L, datetime.datetime(2013, 5, 21, 11, 27, 20), 0.0209510343225618, False, 'best']
['semolsjeco', 202540445, 'impression', '8', 240440643L, datetime.datetime(2013, 5, 21, 11, 27, 20), 0.0439209889161816, False, 'best']
['semolsjeco', 202540445, 'impression', '17', 240915211L, datetime.datetime(2013, 5, 21, 11, 27, 20), 0.0101500897871817, False, 'best']
['semolsjeco', 202540445, 'impression', '10', 240441303L, datetime.datetime(2013, 5, 21, 11, 27, 20), 0.0370390699421943, False, 'best']

